namespace,name,bits,p,a,d,n,h,gx,gy
bls,Bandersnatch,255,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,-0x5,0x6389c12633c267cbc66e3bf86be3b6d8cb66677177e54f92b369f2f5188d58e7,0x1cfb69d4ca675f520cce760202687600ff8f87007419047174fd06b52876e7e1,0x4,,
gost,id-tc26-gost-3410-2012-256-paramSetA,256,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffd97,0x1,0x605f6b7c183fa81578bc39cfad518132b9df62897009af7e522c32d6dc7bffb,0x400000000000000000000000000000000fd8cddfc87b6635c115af556c360c67,0x4,0xd,0x60ca1e32aa475b348488c38fab07649ce7ef8dbe87f22e81f92b2592dba300e7
gost,id-tc26-gost-3410-2012-512-paramSetC,512,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffdc7,0x1,0x9e4f5d8c017d8d9f13a5cf3cdf5bfe4dab402d54198e31ebde28a0621050439ca6b39e0a515c06b304e2ce43e79e369e91a0cfc2bc2a22b4ca302dbb33ee7550,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc98cdba46506ab004c33a9ff5147502cc8eda9e7a769a12694623cef47f023ed,0x4,0x12,0x469af79d1fb1f5e16b99592b77a01e2a0fdfb0d01794368d9a56117f7b38669522dd4b650cf789eebf068c5d139732f0905622c04b2baae7600303ee73001a3d
nums,ed-254-mont,254,0x3f80ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x1,0x367b,0xfe03fffffffffffffffffffffffffffeb95306c8bd62fb0eaf3d3fec46e98c7,0x4,,
nums,ed-255-mers,255,0x7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffd03,-0x1,0xea97,0x1fffffffffffffffffffffffffffffffdcf1a785eda6832eac49d1ed0436eb75,0x4,,
nums,ed-256-mont,256,0xffa7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x1,0x350a,0x3fe9ffffffffffffffffffffffffffffb154bbafb86733c966d92eded8ec7bab,0x4,,
nums,ed-382-mont,382,0x3ffaffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x1,0xaf381,0xffebfffffffffffffffffffffffffffffffffffffffffffd31afaa1520dc177d8c1605c481e068269880369e5f3fa61,0x4,,
nums,ed-383-mers,383,0x7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe5b,-0x1,0x7fed6,0x1ffffffffffffffffffffffffffffffffffffffffffffffff1109704e73d9fbbbcd5687c9eaca2206ffebcec1ba7c81d,0x4,,
nums,ed-384-mont,384,0xb0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x1,0x6f17,0x2c3ffffffffffffffffffffffffffffffffffffffffffffff56d07e24e2749cd9f6b769aec80f6fe06fe4e3a6332489b,0x4,,
nums,ed-510-mont,510,0x3eddffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x1,0x8da1e,0xfb77fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffd7ced11e7c2f1abf716df42a6c246080b5fcc20917e59a42c85821cdf36d51b1,0x4,,
nums,ed-511-mers,511,0x7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe1f,-0x1,0x10bf7d,0x1fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffea7c34182e41e2e9baa930e478c489b72542706bec5f32194f7c2e8f8d142f11,0x4,,
nums,ed-512-mont,512,0xfe14ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x1,0x12a9c,0x3f853fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffcccfd59cdc33470d103060513f6def4d37d9af21b2b2701fa331487ecb8db605,0x4,,
nums,numsp256t1,256,0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff43,-0x1,0x3bee,0x3fffffffffffffffffffffffffffffffbe6aa55ad0a6bc64e5b84e6f1122b4ad,0x4,0xd,0x7d0ab41e2a1276dba3d330b39fa046bfbe2a6d63824d303f707f6fb5331cadba
nums,numsp384t1,384,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffec3,-0x1,0x5158a,0x3fffffffffffffffffffffffffffffffffffffffffffffffecd7d11ed5a259a25a13a0458e39f4e451d6d71f70426e25,0x4,0x8,0x749cdaba136ce9b65bd4471794aa619daa5c7b4c930bff8ebd798a8ae753c6d72f003860febabad534a4acf5fa7f5bee
nums,numsp512t1,512,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffdc7,-0x1,0x9baa8,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffa7e50809efdabbb9a624784f449545f0dcea5ff0cb800f894e78d1cb0b5f0189,0x4,0x20,0x7d67e841dc4c467b605091d80869212f9ceb124bf726973f9ff048779e1d614e62ae2ece5057b5dad96b7a897c1d72799261134638750f4f0cb91027543b1c5e
other,Curve41417,414,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffef,0x1,0xe21,0x7ffffffffffffffffffffffffffffffffffffffffffffffffffeb3cc92414cf706022b36f1c0338ad63cf181b0e71a5e106af79,0x8,0x1a334905141443300218c0631c326e5fcd46369f44c03ec7f57ff35498a4ab4d6d6ba111301a73faa8537c64c4fd3812f3cbc595,0x22
other,Ed25519,255,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffed,-0x1,0x52036cee2b6ffe738cc740797779e89800700a4d4141d8ab75eb4dca135978a3,0x1000000000000000000000000000000014def9dea2f79cd65812631a5cf5d3ed,0x8,0x216936d3cd6e53fec0a4e231fdd6dc5c692cc7609525a7b2c9562d608f25d51a,0x6666666666666666666666666666666666666666666666666666666666666658
other,Ed448,448,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffeffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0x1,0xd78b4bdc7f0daf19f24f38c29373a2ccad46157242a50f37809b1da3412a12e79ccc9c81264cfe9ad080997058fb61c4243cc32dbaa156b9,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffff7cca23e9c44edb49aed63690216cc2728dc58f552378c292ab5844f3,0x4,0x79a70b2b70400553ae7c9df416c792c61128751ac92969240c25a07d728bdc93e21f7787ed6972249de732f38496cd11698713093e9c04fc,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffff80000000000000000000000000000000000000000000000000000001
other,Ed448-Goldilocks,448,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffeffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0x1,-0x98a9,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffff7cca23e9c44edb49aed63690216cc2728dc58f552378c292ab5844f3,0x4,0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa955555555555555555555555555555555555555555555555555555555,0xae05e9634ad7048db359d6205086c2b0036ed7a035884dd7b7e36d728ad8c4b80d6565833a2a3098bbbcb2bed1cda06bdaeafbcdea9386ed
other,JubJub,255,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,-0x1,0x2a9318e74bfa2b48f5fd9207e6bd7fd4292d7f6d37579d2601065fd6d6343eb1,0xe7db4ea6533afa906673b0101343b00a6682093ccc81082d0970e5ed6f72cb7,0x8,0x11dafe5d23e1218086a365b99fbf3d3be72f6afd7d1f72623e6b071492d1122b,0x1d523cf1ddab1a1793132e78c866c0c33e26ba5cc220fed7cc3f870e59d292aa
